0.05  -0.005384583953004167  -0.000793569087846348
0.06  -0.006221098642197283  -0.0008848912363251489
0.07  -0.007602261401897768  -0.0010571999705454693
0.08  -0.008264175908175402  -0.0011353749745867028
0.09  -0.009879835451561318  -0.001353454500951726
0.1  -0.010762217352487629  -0.0014805417263718315
0.13  -0.013866164987831268  -0.0020112888727234508
0.16  -0.01662845183133271  -0.002646181093041368
0.2  -0.02068902552080559  -0.003862007258963434
0.25  -0.02436604614144253  -0.005546550189624738
0.3  -0.02781092095521771  -0.00771240591387018
0.4  -0.038980749506903355  -0.015570164058689193
0.5  -0.053071189281763666  -0.030434258384367075
0.6  -0.07393364785934617  -0.06273688472508591
