0.05  10.025552906594775  11.098928464718794  8.837641205005689
0.07  6.4215959793875035  6.970905948016364  5.975629284523419
0.09  4.717907250162247  4.829007472368879  4.465996623170135
0.11  3.636720172000066  3.6295443260062865  3.5539268902691914
0.13  2.866783919369421  2.8000454618009867  2.9123330091940454
0.15  2.3196377313297716  2.2470462189974536  2.3525108972755358
0.17  1.8937155490234574  1.8576101325160927  1.953087255625812
0.19  1.6021226703675961  1.5032232938180543  1.6731761996665573
0.21  1.362950983380205  1.246195476740356  1.459311572641509
0.23  1.120502971913534  1.0320056291756072  1.242301877571974
0.25  0.9665157213874047  0.88401991631269  1.0787583392587015
0.27  0.832186417736952  0.7399285643145862  0.9466654813902889
0.29  0.7175150609621751  0.6386751818294324  0.8177176915663625
0.31  0.6257779755423537  0.5413161602090921  0.7044952419648665
0.33  0.5373172146018116  0.4595345820480062  0.629013608897202
0.35  0.4783433739747834  0.39722480821098843  0.5566770438740237
0.37  0.4128168843891966  0.3454298087089674  0.49063061493981763
0.39  0.36039569272072725  0.2944136813799091  0.4340193901390695
0.41  0.3151824149066723  0.26053274185603065  0.3836983014272932
0.43  0.2788152131866717  0.22743067450511495  0.3428124168489751
0.45  0.2450690710500945  0.20017014845141964  0.3034990662929
0.47  0.2204966374554995  0.1752462389166125  0.27362091987028286
0.49  0.19494130651712063  0.15382725416013768  0.24594432107880598
0.51  0.1723346676100932  0.13435544983606962  0.2195257495051235
0.53  0.15529778031784064  0.11838857029033378  0.19939731402041302
0.55  0.1353122009942367  0.10592661552293023  0.17738183770901095
0.57  0.12220690307711932  0.0954118411879335  0.1619710042910295
0.59  0.11008450250378576  0.08333932250701129  0.14750369128639385
0.61  0.0999278966180198  0.07438229251793999  0.13335088508620682
0.63  0.09042655562810975  0.06737244296127548  0.1210851197127114
0.65  0.0812528470861276  0.059583721231648255  0.11039188836145894
0.67  0.07273440344000132  0.0541316160209092  0.09844062979241212
0.69  0.06519885713765884  0.04751120255072607  0.09026345287674849
0.71  0.05897384062702808  0.042059097339987014  0.08208627596108486
0.73  0.05242119166846942  0.037113259041673716  0.07265107182762683
0.75  0.046196175157838665  0.0326736876557862  0.0651029085208604
0.77  0.04095405599099173  0.029012988442861407  0.058812772431888385
0.79  0.03636720172000066  0.024962853143455255  0.052522636342916366
0.81  0.031321662021910474  0.021496871973771137  0.04465996623170135
0.83  0.0267020445061266  0.018615044933809066  0.039627857360523724
0.85  0.022541112417441847  0.015538499850606312  0.033337721271551705
0.87  0.02119781938093732  0.014097586330625272  0.031261976362190934
0.89  0.017987021391243568  0.01215040589821847  0.026921782460800247
0.91  0.013629509833802046  0.00903491720636758  0.02072599841316281
0.93  0.008387390666955106  0.005607879645331601  0.012768976260613202
0.95  0.001530043531823451  0.0010008507422570984  0.0023242052848751614
0.97  0.0005143829432468561  0.0003341361622010079  0.0007799768750325305
0.99  4.521327781405487e-07  2.9830804224472266e-07  6.856248336979502e-07
