#mean x	in bin,	AUT from Fanyi's plot, stat error from Sebouh's	simulation
#0.125 4.450 0.598
#0.300 4.300 0.629
#0.500 1.450 1.287
#0.725 0.120 3.373
#0.150 4.760 1.219
#0.250 4.770 1.634
#0.400 2.860 2.137
#0.150 4.760 0.791
#0.250 4.770 1.051
#0.400 2.860 1.397
0.150 4.760 1.273
0.250 4.770 1.364
0.400 2.860 1.657
0.650 0.29 4.861
